CVE,Published,AnalysisTime,Difference
CVE-2023-26159,2024-01-02 05:15:00,2024-01-09 18:20:54.690,7 days 13:05:54.690000
CVE-2023-26998,2024-01-09 02:15:00,2024-01-11 20:04:56.543,2 days 17:49:56.543000
CVE-2023-26999,2024-01-09 02:15:00,2024-01-11 20:19:49.167,2 days 18:04:49.167000
CVE-2023-27000,2024-01-09 02:15:00,2024-01-11 22:54:29.450,2 days 20:39:29.450000
CVE-2023-27098,2024-01-09 02:15:00,2024-01-12 19:14:52.547,3 days 16:59:52.547000
CVE-2023-27739,2024-01-08 21:15:00,2024-01-12 16:06:23.193,3 days 18:51:23.193000
CVE-2023-28185,2024-01-10 22:15:00,2024-01-17 22:16:44.930,7 days 00:01:44.930000
CVE-2023-28197,2024-01-10 22:15:00,2024-01-18 14:49:49.553,7 days 16:34:49.553000
CVE-2023-28583,2024-01-02 06:15:00,2024-01-08 17:48:54.270,6 days 11:33:54.270000
CVE-2023-28897,2024-01-12 16:15:00,2024-01-22 19:53:52.013,10 days 03:38:52.013000
CVE-2023-28898,2024-01-12 16:15:00,2024-01-22 19:52:50.297,10 days 03:37:50.297000
CVE-2023-28899,2024-01-12 17:15:00,2024-01-22 19:52:12.827,10 days 02:37:12.827000
CVE-2023-29048,2024-01-08 09:15:00,2024-01-12 14:09:06.653,4 days 04:54:06.653000
CVE-2023-29049,2024-01-08 09:15:00,2024-01-12 14:16:38.210,4 days 05:01:38.210000
CVE-2023-29050,2024-01-08 09:15:00,2024-01-12 14:24:21.347,4 days 05:09:21.347000
CVE-2023-29051,2024-01-08 09:15:00,2024-01-12 15:05:05.160,4 days 05:50:05.160000
CVE-2023-29052,2024-01-08 09:15:00,2024-01-12 14:27:55.647,4 days 05:12:55.647000
CVE-2023-29444,2024-01-10 17:15:00,2024-01-19 17:36:09.653,9 days 00:21:09.653000
CVE-2023-29445,2024-01-10 21:15:00,2024-01-19 19:37:50.107,8 days 22:22:50.107000
CVE-2023-29446,2024-01-10 21:15:00,2024-01-19 19:50:28.460,8 days 22:35:28.460000
CVE-2023-29447,2024-01-10 21:15:00,2024-01-18 19:53:18.973,7 days 22:38:18.973000
CVE-2023-29962,2024-01-04 06:15:00,2024-01-10 16:51:52.413,6 days 10:36:52.413000
CVE-2023-30014,2024-01-12 09:15:00,2024-01-18 20:20:48.667,6 days 11:05:48.667000
CVE-2023-30015,2024-01-12 09:15:00,2024-01-18 20:20:38.820,6 days 11:05:38.820000
CVE-2023-30016,2024-01-12 09:15:00,2024-01-20 18:44:22.787,8 days 09:29:22.787000
CVE-2023-3043,2024-01-09 23:15:00,2024-01-12 19:18:06.083,2 days 20:03:06.083000
CVE-2023-31001,2024-01-11 03:15:00,2024-01-18 17:06:28.287,7 days 13:51:28.287000
CVE-2023-31003,2024-01-11 03:15:00,2024-01-18 17:06:42.270,7 days 13:51:42.270000
CVE-2023-31024,2024-01-12 19:15:00,2024-01-18 20:46:57.440,6 days 01:31:57.440000
CVE-2023-31030,2024-01-12 19:15:00,2024-01-18 20:53:22.660,6 days 01:38:22.660000
CVE-2023-31032,2024-01-12 19:15:00,2024-01-19 13:09:21.220,6 days 17:54:21.220000
CVE-2023-31036,2024-01-12 17:15:00,2024-01-18 20:45:53.130,6 days 03:30:53.130000
CVE-2023-31211,2024-01-12 08:15:00,2024-01-19 02:09:26.667,6 days 17:54:26.667000
CVE-2023-31446,2024-01-10 03:15:00,2024-01-17 01:28:26.487,6 days 22:13:26.487000
CVE-2023-31488,2024-01-10 20:15:00,2024-01-19 17:50:52.820,8 days 21:35:52.820000
CVE-2023-32366,2024-01-10 22:15:00,2024-01-18 14:48:05.710,7 days 16:33:05.710000
CVE-2023-32378,2024-01-10 22:15:00,2024-01-18 14:47:06.290,7 days 16:32:06.290000
CVE-2023-32383,2024-01-10 22:15:00,2024-01-18 14:46:30.147,7 days 16:31:30.147000
CVE-2023-32401,2024-01-10 22:15:00,2024-01-18 14:45:33.763,7 days 16:30:33.763000
CVE-2023-32424,2024-01-10 22:15:00,2024-01-18 14:44:50.067,7 days 16:29:50.067000
CVE-2023-32436,2024-01-10 22:15:00,2024-01-18 14:35:09.280,7 days 16:20:09.280000
CVE-2023-32650,2024-01-08 15:15:00,2024-01-10 01:19:46.397,1 days 10:04:46.397000
CVE-2023-32831,2024-01-02 03:15:00,2024-01-05 12:11:01.813,3 days 08:56:01.813000
CVE-2023-32872,2024-01-02 03:15:00,2024-01-05 12:11:25.180,3 days 08:56:25.180000
CVE-2023-32874,2024-01-02 03:15:00,2024-01-05 12:11:38.897,3 days 08:56:38.897000
CVE-2023-32875,2024-01-02 03:15:00,2024-01-05 12:11:49.053,3 days 08:56:49.053000
CVE-2023-32876,2024-01-02 03:15:00,2024-01-05 12:11:59.377,3 days 08:56:59.377000
CVE-2023-32877,2024-01-02 03:15:00,2024-01-05 12:12:08.780,3 days 08:57:08.780000
CVE-2023-32878,2024-01-02 03:15:00,2024-01-05 12:12:17.697,3 days 08:57:17.697000
CVE-2023-32879,2024-01-02 03:15:00,2024-01-05 12:12:25.470,3 days 08:57:25.470000
CVE-2023-32880,2024-01-02 03:15:00,2024-01-05 12:12:35.460,3 days 08:57:35.460000
CVE-2023-32881,2024-01-02 03:15:00,2024-01-05 12:12:45.227,3 days 08:57:45.227000
CVE-2023-32882,2024-01-02 03:15:00,2024-01-05 12:12:51.527,3 days 08:57:51.527000
CVE-2023-32883,2024-01-02 03:15:00,2024-01-05 12:13:00.630,3 days 08:58:00.630000
CVE-2023-32884,2024-01-02 03:15:00,2024-01-05 12:13:13.897,3 days 08:58:13.897000
CVE-2023-32885,2024-01-02 03:15:00,2024-01-05 12:13:21.137,3 days 08:58:21.137000
CVE-2023-32886,2024-01-02 03:15:00,2024-01-05 12:13:26.863,3 days 08:58:26.863000
CVE-2023-32887,2024-01-02 03:15:00,2024-01-05 12:13:33.243,3 days 08:58:33.243000
CVE-2023-32888,2024-01-02 03:15:00,2024-01-05 12:13:38.567,3 days 08:58:38.567000
CVE-2023-32889,2024-01-02 03:15:00,2024-01-05 12:13:41.877,3 days 08:58:41.877000
CVE-2023-32890,2024-01-02 03:15:00,2024-01-05 12:13:43.847,3 days 08:58:43.847000
CVE-2023-32891,2024-01-02 03:15:00,2024-01-05 12:13:46.023,3 days 08:58:46.023000
CVE-2023-33014,2024-01-02 06:15:00,2024-01-09 14:53:06.417,7 days 08:38:06.417000
CVE-2023-33025,2024-01-02 06:15:00,2024-01-08 18:40:01.283,6 days 12:25:01.283000
CVE-2023-33030,2024-01-02 06:15:00,2024-01-09 19:03:17.217,7 days 12:48:17.217000
CVE-2023-33032,2024-01-02 06:15:00,2024-01-09 15:16:53.130,7 days 09:01:53.130000
CVE-2023-33033,2024-01-02 06:15:00,2024-01-09 15:28:55.593,7 days 09:13:55.593000
CVE-2023-33036,2024-01-02 06:15:00,2024-01-08 18:40:51.790,6 days 12:25:51.790000
CVE-2023-33037,2024-01-02 06:15:00,2024-01-09 19:12:53.463,7 days 12:57:53.463000
CVE-2023-33038,2024-01-02 06:15:00,2024-01-09 19:14:33.600,7 days 12:59:33.600000
CVE-2023-33040,2024-01-02 06:15:00,2024-01-09 19:14:51.970,7 days 12:59:51.970000
CVE-2023-33062,2024-01-02 06:15:00,2024-01-09 19:15:08.490,7 days 13:00:08.490000
CVE-2023-33085,2024-01-02 06:15:00,2024-01-08 18:45:19.540,6 days 12:30:19.540000
CVE-2023-33094,2024-01-02 06:15:00,2024-01-09 19:16:42.410,7 days 13:01:42.410000
CVE-2023-33108,2024-01-02 06:15:00,2024-01-08 18:46:16.950,6 days 12:31:16.950000
CVE-2023-33109,2024-01-02 06:15:00,2024-01-09 19:17:07.337,7 days 13:02:07.337000
CVE-2023-33110,2024-01-02 06:15:00,2024-01-09 19:19:51.423,7 days 13:04:51.423000
CVE-2023-33112,2024-01-02 06:15:00,2024-01-09 19:21:33.350,7 days 13:06:33.350000
CVE-2023-33113,2024-01-02 06:15:00,2024-01-09 19:22:25.750,7 days 13:07:25.750000
CVE-2023-33114,2024-01-02 06:15:00,2024-01-08 18:48:15.117,6 days 12:33:15.117000
CVE-2023-33116,2024-01-02 06:15:00,2024-01-08 18:49:49.197,6 days 12:34:49.197000
CVE-2023-33117,2024-01-02 06:15:00,2024-01-08 18:50:41.257,6 days 12:35:41.257000
CVE-2023-33118,2024-01-02 06:15:00,2024-01-08 18:51:10.093,6 days 12:36:10.093000
CVE-2023-33120,2024-01-02 06:15:00,2024-01-09 19:22:37.520,7 days 13:07:37.520000
CVE-2023-34061,2024-01-12 07:15:00,2024-01-18 20:24:41.620,6 days 13:09:41.620000
CVE-2023-34087,2024-01-08 15:15:00,2024-01-10 01:19:38.973,1 days 10:04:38.973000
CVE-2023-34321,2024-01-05 17:15:00,2024-01-11 17:08:05.700,5 days 23:53:05.700000
CVE-2023-34322,2024-01-05 17:15:00,2024-01-11 17:07:43.217,5 days 23:52:43.217000
CVE-2023-34323,2024-01-05 17:15:00,2024-01-11 17:07:26.067,5 days 23:52:26.067000
CVE-2023-34324,2024-01-05 17:15:00,2024-01-11 17:12:10.670,5 days 23:57:10.670000
CVE-2023-34325,2024-01-05 17:15:00,2024-01-11 15:57:22.593,5 days 22:42:22.593000
CVE-2023-34326,2024-01-05 17:15:00,2024-01-11 15:57:03.730,5 days 22:42:03.730000
CVE-2023-34327,2024-01-05 17:15:00,2024-01-11 15:56:46.770,5 days 22:41:46.770000
CVE-2023-34328,2024-01-05 17:15:00,2024-01-11 15:56:17.967,5 days 22:41:17.967000
CVE-2023-34332,2024-01-09 23:15:00,2024-01-12 19:20:44.143,2 days 20:05:44.143000
CVE-2023-34333,2024-01-09 23:15:00,2024-01-12 19:19:22.347,2 days 20:04:22.347000
CVE-2023-34436,2024-01-08 15:15:00,2024-01-10 01:19:19.230,1 days 10:04:19.230000
CVE-2023-35004,2024-01-08 15:15:00,2024-01-10 01:19:00.103,1 days 10:04:00.103000
CVE-2023-35057,2024-01-08 15:15:00,2024-01-10 01:18:50.703,1 days 10:03:50.703000
CVE-2023-35128,2024-01-08 15:15:00,2024-01-10 01:18:41.877,1 days 10:03:41.877000
CVE-2023-35702,2024-01-08 15:15:00,2024-01-16 17:33:44.490,8 days 02:18:44.490000
CVE-2023-35703,2024-01-08 15:15:00,2024-01-16 17:34:14.013,8 days 02:19:14.013000
CVE-2023-35704,2024-01-08 15:15:00,2024-01-16 17:34:22.737,8 days 02:19:22.737000
CVE-2023-35955,2024-01-08 15:15:00,2024-01-11 17:31:20.107,3 days 02:16:20.107000
CVE-2023-35956,2024-01-08 15:15:00,2024-01-11 17:31:13.113,3 days 02:16:13.113000
CVE-2023-35957,2024-01-08 15:15:00,2024-01-11 17:30:12.257,3 days 02:15:12.257000
CVE-2023-35958,2024-01-08 15:15:00,2024-01-11 17:30:03.760,3 days 02:15:03.760000
CVE-2023-35959,2024-01-08 15:15:00,2024-01-11 17:29:39.217,3 days 02:14:39.217000
