CVE,Published,AnalysisTime,Difference
CVE-2023-40430,2024-01-10 22:15:00,2024-01-12 14:42:01.487,1 days 16:27:01.487000
CVE-2023-40433,2024-01-10 22:15:00,2024-01-17 18:52:03.740,6 days 20:37:03.740000
CVE-2023-40437,2024-01-10 22:15:00,2024-01-17 19:06:18.090,6 days 20:51:18.090000
CVE-2023-40438,2024-01-10 22:15:00,2024-01-16 23:51:13.900,6 days 01:36:13.900000
CVE-2023-40439,2024-01-10 22:15:00,2024-01-17 19:12:37.483,6 days 20:57:37.483000
CVE-2023-40529,2024-01-10 22:15:00,2024-01-17 19:14:54.457,6 days 20:59:54.457000
CVE-2023-41056,2024-01-10 16:15:00,2024-01-17 17:34:53.783,7 days 01:19:53.783000
CVE-2023-41060,2024-01-10 22:15:00,2024-01-16 23:51:58.017,6 days 01:36:58.017000
CVE-2023-41069,2024-01-10 22:15:00,2024-01-17 21:26:06.250,6 days 23:11:06.250000
CVE-2023-41075,2024-01-10 22:15:00,2024-01-17 21:03:38.137,6 days 22:48:38.137000
CVE-2023-41287,2024-01-05 17:15:00,2024-01-10 16:58:39.320,4 days 23:43:39.320000
CVE-2023-41288,2024-01-05 17:15:00,2024-01-10 16:58:29.157,4 days 23:43:29.157000
CVE-2023-41289,2024-01-05 17:15:00,2024-01-10 16:58:08.433,4 days 23:43:08.433000
CVE-2023-41603,2024-01-10 08:15:00,2024-01-12 19:13:05.097,2 days 10:58:05.097000
CVE-2023-4164,2024-01-02 22:15:00,2024-01-09 15:44:17.017,6 days 17:29:17.017000
CVE-2023-41710,2024-01-08 09:15:00,2024-01-12 13:56:25.613,4 days 04:41:25.613000
CVE-2023-41776,2024-01-03 02:15:00,2024-01-09 20:01:33.227,6 days 17:46:33.227000
CVE-2023-41779,2024-01-03 02:15:00,2024-01-09 20:01:10.060,6 days 17:46:10.060000
CVE-2023-41780,2024-01-03 02:15:00,2024-01-09 20:00:36.187,6 days 17:45:36.187000
CVE-2023-41781,2024-01-10 07:15:00,2024-01-17 01:24:19.663,6 days 18:09:19.663000
CVE-2023-41782,2024-01-05 02:15:00,2024-01-11 15:53:30.157,6 days 13:38:30.157000
CVE-2023-41783,2024-01-03 02:15:00,2024-01-09 20:00:01.513,6 days 17:45:01.513000
CVE-2023-41784,2024-01-04 08:15:00,2024-01-10 16:42:40.977,6 days 08:27:40.977000
CVE-2023-41974,2024-01-10 22:15:00,2024-01-17 21:17:26.313,6 days 23:02:26.313000
CVE-2023-41987,2024-01-10 22:15:00,2024-01-12 14:42:06.447,1 days 16:27:06.447000
CVE-2023-41994,2024-01-10 22:15:00,2024-01-12 14:42:23.900,1 days 16:27:23.900000
CVE-2023-42358,2024-01-03 06:15:00,2024-01-10 19:39:10.440,7 days 13:24:10.440000
CVE-2023-4246,2024-01-11 09:15:00,2024-01-17 21:47:57.170,6 days 12:32:57.170000
CVE-2023-4247,2024-01-11 09:15:00,2024-01-17 00:01:47.760,5 days 14:46:47.760000
CVE-2023-4248,2024-01-11 09:15:00,2024-01-17 00:00:16.273,5 days 14:45:16.273000
CVE-2023-42797,2024-01-09 10:15:00,2024-01-16 15:29:43.997,7 days 05:14:43.997000
CVE-2023-4280,2024-01-02 17:15:00,2024-01-09 16:51:14.493,6 days 23:36:14.493000
CVE-2023-42826,2024-01-10 22:15:00,2024-01-12 14:42:28.717,1 days 16:27:28.717000
CVE-2023-42828,2024-01-10 22:15:00,2024-01-17 21:22:41.870,6 days 23:07:41.870000
CVE-2023-42829,2024-01-10 22:15:00,2024-01-17 21:14:33.907,6 days 22:59:33.907000
CVE-2023-42830,2024-01-10 22:15:00,2024-01-17 20:56:33.967,6 days 22:41:33.967000
CVE-2023-42831,2024-01-10 22:15:00,2024-01-17 20:51:35.590,6 days 22:36:35.590000
CVE-2023-42832,2024-01-10 22:15:00,2024-01-17 21:16:29.290,6 days 23:01:29.290000
CVE-2023-42833,2024-01-10 22:15:00,2024-01-17 20:50:04.993,6 days 22:35:04.993000
CVE-2023-42862,2024-01-10 22:15:00,2024-01-17 20:51:42.093,6 days 22:36:42.093000
CVE-2023-42865,2024-01-10 22:15:00,2024-01-17 18:13:22.983,6 days 19:58:22.983000
CVE-2023-42866,2024-01-10 22:15:00,2024-01-17 20:46:08.080,6 days 22:31:08.080000
CVE-2023-42869,2024-01-10 22:15:00,2024-01-17 18:19:52.477,6 days 20:04:52.477000
CVE-2023-42870,2024-01-10 22:15:00,2024-01-16 23:52:09.237,6 days 01:37:09.237000
CVE-2023-42871,2024-01-10 22:15:00,2024-01-16 23:52:19.210,6 days 01:37:19.210000
CVE-2023-42872,2024-01-10 22:15:00,2024-01-16 23:52:30.463,6 days 01:37:30.463000
CVE-2023-42876,2024-01-10 22:15:00,2024-01-12 14:42:40.440,1 days 16:27:40.440000
CVE-2023-42929,2024-01-10 22:15:00,2024-01-12 14:42:35.287,1 days 16:27:35.287000
CVE-2023-42933,2024-01-10 22:15:00,2024-01-12 14:42:31.597,1 days 16:27:31.597000
CVE-2023-42934,2024-01-10 22:15:00,2024-01-16 23:52:48.797,6 days 01:37:48.797000
CVE-2023-42941,2024-01-10 22:15:00,2024-01-16 23:54:14.287,6 days 01:39:14.287000
CVE-2023-43511,2024-01-02 06:15:00,2024-01-08 18:56:41.220,6 days 12:41:41.220000
CVE-2023-43512,2024-01-02 06:15:00,2024-01-08 18:58:42.440,6 days 12:43:42.440000
CVE-2023-43514,2024-01-02 06:15:00,2024-01-08 18:59:13.470,6 days 12:44:13.470000
CVE-2023-4372,2024-01-11 09:15:00,2024-01-17 21:50:15.357,6 days 12:35:15.357000
CVE-2023-44120,2024-01-09 10:15:00,2024-01-16 15:36:11.787,7 days 05:21:11.787000
CVE-2023-44250,2024-01-10 18:15:00,2024-01-18 13:54:40.420,7 days 19:39:40.420000
CVE-2023-45039,2024-01-05 17:15:00,2024-01-10 16:59:35.900,4 days 23:44:35.900000
CVE-2023-45040,2024-01-05 17:15:00,2024-01-10 16:57:27.493,4 days 23:42:27.493000
CVE-2023-45041,2024-01-05 17:15:00,2024-01-10 16:57:18.467,4 days 23:42:18.467000
CVE-2023-45042,2024-01-05 17:15:00,2024-01-10 16:57:07.200,4 days 23:42:07.200000
CVE-2023-45043,2024-01-05 17:15:00,2024-01-10 16:54:50.947,4 days 23:39:50.947000
CVE-2023-45044,2024-01-05 17:15:00,2024-01-10 16:54:34.530,4 days 23:39:34.530000
CVE-2023-45139,2024-01-10 16:15:00,2024-01-17 15:36:52.247,6 days 23:21:52.247000
CVE-2023-45169,2024-01-11 03:15:00,2024-01-16 21:23:19.317,5 days 18:08:19.317000
CVE-2023-45171,2024-01-11 03:15:00,2024-01-16 21:23:33.897,5 days 18:08:33.897000
CVE-2023-45173,2024-01-11 02:15:00,2024-01-16 21:23:01.967,5 days 19:08:01.967000
CVE-2023-45175,2024-01-11 02:15:00,2024-01-16 21:23:11.520,5 days 19:08:11.520000
CVE-2023-45561,2024-01-02 21:15:00,2024-01-08 19:32:10.713,5 days 22:17:10.713000
CVE-2023-45722,2024-01-03 03:15:00,2024-01-09 19:41:37.500,6 days 16:26:37.500000
CVE-2023-45723,2024-01-03 03:15:00,2024-01-09 18:52:37.720,6 days 15:37:37.720000
CVE-2023-45724,2024-01-03 03:15:00,2024-01-09 18:34:41.847,6 days 15:19:41.847000
CVE-2023-45892,2024-01-02 21:15:00,2024-01-08 19:31:03.053,5 days 22:16:03.053000
CVE-2023-45893,2024-01-02 21:15:00,2024-01-08 19:30:51.930,5 days 22:15:51.930000
CVE-2023-46308,2024-01-03 05:15:00,2024-01-09 17:47:09.947,6 days 12:32:09.947000
CVE-2023-46474,2024-01-11 22:15:00,2024-01-18 19:23:18.687,6 days 21:08:18.687000
CVE-2023-46712,2024-01-10 18:15:00,2024-01-17 18:25:21.627,7 days 00:10:21.627000
CVE-2023-46805,2024-01-12 17:15:00,2024-01-12 20:47:00.953,0 days 03:32:00.953000
CVE-2023-46835,2024-01-05 17:15:00,2024-01-11 15:56:04.103,5 days 22:41:04.103000
CVE-2023-46836,2024-01-05 17:15:00,2024-01-11 17:09:02.030,5 days 23:54:02.030000
CVE-2023-46837,2024-01-05 17:15:00,2024-01-11 17:08:38.747,5 days 23:53:38.747000
CVE-2023-46906,2024-01-09 01:15:00,2024-01-12 15:18:52.423,3 days 14:03:52.423000
CVE-2023-46929,2024-01-03 19:15:00,2024-01-10 19:26:28.660,7 days 00:11:28.660000
CVE-2023-46953,2024-01-06 05:15:00,2024-01-11 17:06:37.447,5 days 11:51:37.447000
CVE-2023-47039,2024-01-02 06:15:00,2024-01-08 19:02:03.553,6 days 12:47:03.553000
CVE-2023-47140,2024-01-08 03:15:00,2024-01-11 16:58:30.743,3 days 13:43:30.743000
CVE-2023-47145,2024-01-07 19:15:00,2024-01-11 16:01:42.370,3 days 20:46:42.370000
CVE-2023-47171,2024-01-10 16:15:00,2024-01-17 15:22:38.983,6 days 23:07:38.983000
CVE-2023-47211,2024-01-08 15:15:00,2024-01-12 18:44:45.420,4 days 03:29:45.420000
CVE-2023-47216,2024-01-02 08:15:00,2024-01-05 22:22:24.673,3 days 14:07:24.673000
CVE-2023-47219,2024-01-05 17:15:00,2024-01-10 16:53:51.953,4 days 23:38:51.953000
CVE-2023-47458,2024-01-02 21:15:00,2024-01-08 19:29:49.170,5 days 22:14:49.170000
CVE-2023-47473,2024-01-03 07:15:00,2024-01-10 19:44:05.017,7 days 12:29:05.017000
CVE-2023-47559,2024-01-05 17:15:00,2024-01-11 13:56:50.067,5 days 20:41:50.067000
CVE-2023-47560,2024-01-05 17:15:00,2024-01-11 14:07:09.607,5 days 20:52:09.607000
CVE-2023-47857,2024-01-02 08:15:00,2024-01-05 22:05:02.307,3 days 13:50:02.307000
CVE-2023-47858,2024-01-02 10:15:00,2024-01-08 19:03:08.110,6 days 08:48:08.110000
CVE-2023-47861,2024-01-10 16:15:00,2024-01-17 15:21:57.443,6 days 23:06:57.443000
CVE-2023-47862,2024-01-10 16:15:00,2024-01-17 15:21:15.093,6 days 23:06:15.093000
CVE-2023-47890,2024-01-08 20:15:00,2024-01-11 20:01:55.787,2 days 23:46:55.787000
CVE-2023-47992,2024-01-09 23:15:00,2024-01-16 21:03:04.797,6 days 21:48:04.797000
CVE-2023-47993,2024-01-09 23:15:00,2024-01-16 21:02:52.140,6 days 21:47:52.140000
CVE-2023-47994,2024-01-09 23:15:00,2024-01-16 21:02:41.423,6 days 21:47:41.423000
CVE-2023-47995,2024-01-09 23:15:00,2024-01-16 21:02:27.183,6 days 21:47:27.183000
CVE-2023-47996,2024-01-09 23:15:00,2024-01-16 20:59:05.927,6 days 21:44:05.927000
CVE-2023-47997,2024-01-10 00:15:00,2024-01-16 20:58:57.277,6 days 20:43:57.277000
CVE-2023-4812,2024-01-12 14:15:00,2024-01-18 21:18:27.890,6 days 07:03:27.890000
CVE-2023-48242,2024-01-10 11:15:00,2024-01-16 20:17:56.880,6 days 09:02:56.880000
CVE-2023-48243,2024-01-10 11:15:00,2024-01-16 20:17:42.003,6 days 09:02:42.003000
CVE-2023-48244,2024-01-10 11:15:00,2024-01-16 20:17:17.967,6 days 09:02:17.967000
CVE-2023-48245,2024-01-10 11:15:00,2024-01-16 20:17:01.717,6 days 09:02:01.717000
CVE-2023-48246,2024-01-10 11:15:00,2024-01-16 19:47:37.697,6 days 08:32:37.697000
CVE-2023-48247,2024-01-10 11:15:00,2024-01-16 19:53:35.727,6 days 08:38:35.727000
CVE-2023-48248,2024-01-10 11:15:00,2024-01-17 20:31:27.270,7 days 09:16:27.270000
CVE-2023-48249,2024-01-10 11:15:00,2024-01-16 19:59:39.220,6 days 08:44:39.220000
CVE-2023-48250,2024-01-10 11:15:00,2024-01-17 20:31:45.170,7 days 09:16:45.170000
CVE-2023-48251,2024-01-10 13:15:00,2024-01-17 20:32:27.970,7 days 07:17:27.970000
CVE-2023-48252,2024-01-10 13:15:00,2024-01-17 20:37:04.087,7 days 07:22:04.087000
CVE-2023-48253,2024-01-10 13:15:00,2024-01-17 20:35:48.150,7 days 07:20:48.150000
CVE-2023-48254,2024-01-10 13:15:00,2024-01-18 19:47:25.097,8 days 06:32:25.097000
CVE-2023-48255,2024-01-10 13:15:00,2024-01-18 19:29:46.503,8 days 06:14:46.503000
CVE-2023-48256,2024-01-10 13:15:00,2024-01-16 22:05:01.160,6 days 08:50:01.160000
CVE-2023-48257,2024-01-10 13:15:00,2024-01-16 22:07:15.033,6 days 08:52:15.033000
CVE-2023-48258,2024-01-10 13:15:00,2024-01-16 21:51:00.227,6 days 08:36:00.227000
CVE-2023-48259,2024-01-10 13:15:00,2024-01-16 20:16:25.603,6 days 07:01:25.603000
CVE-2023-48260,2024-01-10 13:15:00,2024-01-16 20:16:05.800,6 days 07:01:05.800000
CVE-2023-48261,2024-01-10 13:15:00,2024-01-16 20:15:31.993,6 days 07:00:31.993000
CVE-2023-48262,2024-01-10 13:15:00,2024-01-16 20:30:28.303,6 days 07:15:28.303000
CVE-2023-48263,2024-01-10 13:15:00,2024-01-16 20:30:41.693,6 days 07:15:41.693000
CVE-2023-48264,2024-01-10 13:15:00,2024-01-16 20:30:58.487,6 days 07:15:58.487000
CVE-2023-48265,2024-01-10 13:15:00,2024-01-16 20:31:20.237,6 days 07:16:20.237000
CVE-2023-48266,2024-01-10 13:15:00,2024-01-16 20:31:40.727,6 days 07:16:40.727000
CVE-2023-48360,2024-01-02 08:15:00,2024-01-05 22:04:53.360,3 days 13:49:53.360000
CVE-2023-48418,2024-01-02 23:15:00,2024-01-09 17:30:39.377,6 days 18:15:39.377000
CVE-2023-48419,2024-01-02 19:15:00,2024-01-09 15:36:14.880,6 days 20:21:14.880000
CVE-2023-48728,2024-01-10 16:15:00,2024-01-17 15:19:11.510,6 days 23:04:11.510000
CVE-2023-48730,2024-01-10 16:15:00,2024-01-17 15:17:52.493,6 days 23:02:52.493000
CVE-2023-48732,2024-01-02 10:15:00,2024-01-08 19:03:27.600,6 days 08:48:27.600000
CVE-2023-48783,2024-01-10 18:15:00,2024-01-17 18:24:38.630,7 days 00:09:38.630000
CVE-2023-48864,2024-01-10 08:15:00,2024-01-17 01:35:05.423,6 days 17:20:05.423000
CVE-2023-48909,2024-01-12 09:15:00,2024-01-22 16:33:28.673,10 days 07:18:28.673000
CVE-2023-49121,2024-01-09 10:15:00,2024-01-10 20:31:15.803,1 days 10:16:15.803000
CVE-2023-49122,2024-01-09 10:15:00,2024-01-10 20:31:25.820,1 days 10:16:25.820000
CVE-2023-49123,2024-01-09 10:15:00,2024-01-10 20:31:36.877,1 days 10:16:36.877000
CVE-2023-49124,2024-01-09 10:15:00,2024-01-10 20:29:11.333,1 days 10:14:11.333000
CVE-2023-49126,2024-01-09 10:15:00,2024-01-10 20:28:58.353,1 days 10:13:58.353000
CVE-2023-49127,2024-01-09 10:15:00,2024-01-10 20:28:49.527,1 days 10:13:49.527000
CVE-2023-49128,2024-01-09 10:15:00,2024-01-10 20:28:33.707,1 days 10:13:33.707000
CVE-2023-49129,2024-01-09 10:15:00,2024-01-10 20:30:03.093,1 days 10:15:03.093000
CVE-2023-49130,2024-01-09 10:15:00,2024-01-10 20:30:18.637,1 days 10:15:18.637000
CVE-2023-49131,2024-01-09 10:15:00,2024-01-10 20:30:29.020,1 days 10:15:29.020000
CVE-2023-49132,2024-01-09 10:15:00,2024-01-10 20:30:39.833,1 days 10:15:39.833000
CVE-2023-49135,2024-01-02 08:15:00,2024-01-05 22:04:16.450,3 days 13:49:16.450000
CVE-2023-49142,2024-01-02 08:15:00,2024-01-05 22:03:59.810,3 days 13:48:59.810000
CVE-2023-49235,2024-01-09 09:15:00,2024-01-12 19:51:24.610,3 days 10:36:24.610000
CVE-2023-49236,2024-01-09 09:15:00,2024-01-12 20:39:27.210,3 days 11:24:27.210000
CVE-2023-49237,2024-01-09 09:15:00,2024-01-16 14:51:27.700,7 days 05:36:27.700000
CVE-2023-49238,2024-01-09 02:15:00,2024-01-16 15:24:35.717,7 days 13:09:35.717000
CVE-2023-49251,2024-01-09 10:15:00,2024-01-12 15:37:49.750,3 days 05:22:49.750000
CVE-2023-49252,2024-01-09 10:15:00,2024-01-11 22:43:37.107,2 days 12:28:37.107000
CVE-2023-49253,2024-01-12 15:15:00,2024-01-18 21:14:22.837,6 days 05:59:22.837000
CVE-2023-49254,2024-01-12 15:15:00,2024-01-18 21:14:11.903,6 days 05:59:11.903000
CVE-2023-49255,2024-01-12 15:15:00,2024-01-19 02:11:57.810,6 days 10:56:57.810000
CVE-2023-49256,2024-01-12 15:15:00,2024-01-18 21:14:03.503,6 days 05:59:03.503000
CVE-2023-49257,2024-01-12 15:15:00,2024-01-18 21:13:51.637,6 days 05:58:51.637000
CVE-2023-49258,2024-01-12 15:15:00,2024-01-18 20:38:29.233,6 days 05:23:29.233000
CVE-2023-49259,2024-01-12 15:15:00,2024-01-18 20:33:22.177,6 days 05:18:22.177000
CVE-2023-49260,2024-01-12 15:15:00,2024-01-18 20:22:01.970,6 days 05:07:01.970000
CVE-2023-49261,2024-01-12 15:15:00,2024-01-18 20:21:50.317,6 days 05:06:50.317000
CVE-2023-49262,2024-01-12 15:15:00,2024-01-19 02:11:40.770,6 days 10:56:40.770000
CVE-2023-49295,2024-01-10 22:15:00,2024-01-19 19:05:52.563,8 days 20:50:52.563000
CVE-2023-49394,2024-01-10 09:15:00,2024-01-17 13:33:05.037,7 days 04:18:05.037000
CVE-2023-49427,2024-01-10 09:15:00,2024-01-12 19:13:41.387,2 days 09:58:41.387000
CVE-2023-49442,2024-01-03 21:15:00,2024-01-10 20:26:06.427,6 days 23:11:06.427000
CVE-2023-49471,2024-01-10 09:15:00,2024-01-17 13:41:42.823,7 days 04:26:42.823000
CVE-2023-49549,2024-01-02 23:15:00,2024-01-09 16:18:48.533,6 days 17:03:48.533000
CVE-2023-49550,2024-01-02 23:15:00,2024-01-05 23:53:00.197,3 days 00:38:00.197000
CVE-2023-49551,2024-01-02 23:15:00,2024-01-05 23:53:48.127,3 days 00:38:48.127000
CVE-2023-49552,2024-01-02 23:15:00,2024-01-09 16:25:24.990,6 days 17:10:24.990000
CVE-2023-49553,2024-01-02 23:15:00,2024-01-09 16:40:43.283,6 days 17:25:43.283000
CVE-2023-49554,2024-01-03 00:15:00,2024-01-09 17:18:19.590,6 days 17:03:19.590000
CVE-2023-49555,2024-01-03 00:15:00,2024-01-09 17:05:14.360,6 days 16:50:14.360000
CVE-2023-49556,2024-01-03 00:15:00,2024-01-09 16:59:09.240,6 days 16:44:09.240000
CVE-2023-49557,2024-01-03 00:15:00,2024-01-09 16:52:22.047,6 days 16:37:22.047000
CVE-2023-49558,2024-01-03 00:15:00,2024-01-09 16:49:04.167,6 days 16:34:04.167000
CVE-2023-49568,2024-01-12 11:15:00,2024-01-22 17:57:41.203,10 days 06:42:41.203000
CVE-2023-49569,2024-01-12 11:15:00,2024-01-22 18:57:03.513,10 days 07:42:03.513000
CVE-2023-49589,2024-01-10 16:15:00,2024-01-17 15:16:26.837,6 days 23:01:26.837000
CVE-2023-49599,2024-01-10 16:15:00,2024-01-17 15:14:39.333,6 days 22:59:39.333000
CVE-2023-4960,2024-01-11 09:15:00,2024-01-17 21:53:01.510,6 days 12:38:01.510000
CVE-2023-49619,2024-01-10 09:15:00,2024-01-17 13:44:55.800,7 days 04:29:55.800000
CVE-2023-4962,2024-01-11 09:15:00,2024-01-17 21:58:45.013,6 days 12:43:45.013000
CVE-2023-49621,2024-01-09 10:15:00,2024-01-11 22:46:50.273,2 days 12:31:50.273000
CVE-2023-49622,2024-01-04 14:15:00,2024-01-10 01:14:24.720,5 days 10:59:24.720000
CVE-2023-49624,2024-01-04 14:15:00,2024-01-10 01:14:18.430,5 days 10:59:18.430000
CVE-2023-49625,2024-01-04 14:15:00,2024-01-10 01:14:10.037,5 days 10:59:10.037000
CVE-2023-49633,2024-01-04 14:15:00,2024-01-10 01:14:03.873,5 days 10:59:03.873000
CVE-2023-49639,2024-01-04 14:15:00,2024-01-10 01:13:57.130,5 days 10:58:57.130000
CVE-2023-49658,2024-01-04 14:15:00,2024-01-10 01:13:48.697,5 days 10:58:48.697000
CVE-2023-49665,2024-01-04 14:15:00,2024-01-10 01:13:39.957,5 days 10:58:39.957000
CVE-2023-49666,2024-01-04 14:15:00,2024-01-10 01:13:33.647,5 days 10:58:33.647000
CVE-2023-49715,2024-01-10 16:15:00,2024-01-17 15:14:14.117,6 days 22:59:14.117000
CVE-2023-49722,2024-01-09 10:15:00,2024-01-16 15:52:19.947,7 days 05:37:19.947000
CVE-2023-49738,2024-01-10 16:15:00,2024-01-17 15:08:28.863,6 days 22:53:28.863000
CVE-2023-49794,2024-01-02 20:15:00,2024-01-08 19:37:53.740,5 days 23:22:53.740000
CVE-2023-49810,2024-01-10 16:15:00,2024-01-17 15:07:26.077,6 days 22:52:26.077000
CVE-2023-49862,2024-01-10 16:15:00,2024-01-18 19:29:20.017,8 days 03:14:20.017000
CVE-2023-49863,2024-01-10 16:15:00,2024-01-18 19:29:12.650,8 days 03:14:12.650000
CVE-2023-49864,2024-01-10 16:15:00,2024-01-16 21:11:59.320,6 days 04:56:59.320000
CVE-2023-49961,2024-01-08 21:15:00,2024-01-12 16:13:48.363,3 days 18:58:48.363000
CVE-2023-50019,2024-01-02 22:15:00,2024-01-11 17:28:54.270,8 days 19:13:54.270000
CVE-2023-50020,2024-01-02 22:15:00,2024-01-11 17:35:56.763,8 days 19:20:56.763000
CVE-2023-50027,2024-01-05 09:15:00,2024-01-11 14:26:14.303,6 days 05:11:14.303000
CVE-2023-50082,2024-01-04 08:15:00,2024-01-10 16:42:06.083,6 days 08:27:06.083000
CVE-2023-50090,2024-01-03 20:15:00,2024-01-09 21:18:46.217,6 days 01:03:46.217000
CVE-2023-50094,2024-01-01 18:15:00,2024-01-09 20:48:00.673,8 days 02:33:00.673000
CVE-2023-50096,2024-01-01 18:15:00,2024-01-09 18:29:41.830,8 days 00:14:41.830000
CVE-2023-50120,2024-01-10 09:15:00,2024-01-18 17:18:05.337,8 days 08:03:05.337000
CVE-2023-50121,2024-01-06 05:15:00,2024-01-12 18:47:56.157,6 days 13:32:56.157000
CVE-2023-50123,2024-01-11 21:15:00,2024-01-19 15:10:06.837,7 days 17:55:06.837000
CVE-2023-50124,2024-01-11 21:15:00,2024-01-19 14:42:04.510,7 days 17:27:04.510000
CVE-2023-50125,2024-01-11 21:15:00,2024-01-19 15:32:56.987,7 days 18:17:56.987000
CVE-2023-50126,2024-01-11 21:15:00,2024-01-19 14:33:53.083,7 days 17:18:53.083000
CVE-2023-50127,2024-01-11 21:15:00,2024-01-18 20:21:22.973,6 days 23:06:22.973000
CVE-2023-50128,2024-01-11 21:15:00,2024-01-19 15:29:21.520,7 days 18:14:21.520000
CVE-2023-50129,2024-01-11 21:15:00,2024-01-19 14:08:23.540,7 days 16:53:23.540000
CVE-2023-50136,2024-01-09 22:15:00,2024-01-16 18:51:33.897,6 days 20:36:33.897000
CVE-2023-50159,2024-01-11 14:15:00,2024-01-18 17:56:59.890,7 days 03:41:59.890000
CVE-2023-50162,2024-01-09 00:15:00,2024-01-11 20:05:12.270,2 days 19:50:12.270000
CVE-2023-50172,2024-01-10 16:15:00,2024-01-18 14:28:59.987,7 days 22:13:59.987000
CVE-2023-50256,2024-01-03 23:15:00,2024-01-10 20:00:20.810,6 days 20:45:20.810000
CVE-2023-50333,2024-01-02 10:15:00,2024-01-08 19:04:13.127,6 days 08:49:13.127000
CVE-2023-50341,2024-01-03 03:15:00,2024-01-09 18:07:10.673,6 days 14:52:10.673000
CVE-2023-50342,2024-01-03 03:15:00,2024-01-09 18:06:28.307,6 days 14:51:28.307000
CVE-2023-50343,2024-01-03 03:15:00,2024-01-09 17:58:38.073,6 days 14:43:38.073000
CVE-2023-50344,2024-01-03 03:15:00,2024-01-09 17:51:58.357,6 days 14:36:58.357000
CVE-2023-50345,2024-01-03 02:15:00,2024-01-09 19:50:11.830,6 days 17:35:11.830000
CVE-2023-50346,2024-01-03 02:15:00,2024-01-09 19:50:45.667,6 days 17:35:45.667000
CVE-2023-50348,2024-01-03 02:15:00,2024-01-09 19:50:04.400,6 days 17:35:04.400000
CVE-2023-50350,2024-01-03 02:15:00,2024-01-09 19:44:18.807,6 days 17:29:18.807000
CVE-2023-50351,2024-01-03 02:15:00,2024-01-09 19:41:58.480,6 days 17:26:58.480000
CVE-2023-50585,2024-01-09 09:15:00,2024-01-12 15:38:04.177,3 days 06:23:04.177000
CVE-2023-50609,2024-01-06 04:15:00,2024-01-11 14:54:52.890,5 days 10:39:52.890000
CVE-2023-50612,2024-01-06 03:15:00,2024-01-11 15:02:43.737,5 days 11:47:43.737000
CVE-2023-50630,2024-01-04 08:15:00,2024-01-10 16:41:48.407,6 days 08:26:48.407000
CVE-2023-50643,2024-01-09 01:15:00,2024-01-12 15:37:50.080,3 days 14:22:50.080000
CVE-2023-50671,2024-01-11 17:15:00,2024-01-18 18:54:54.873,7 days 01:39:54.873000
CVE-2023-50711,2024-01-02 20:15:00,2024-01-08 19:36:27.300,5 days 23:21:27.300000
CVE-2023-50743,2024-01-04 14:15:00,2024-01-10 01:13:27.113,5 days 10:58:27.113000
CVE-2023-50752,2024-01-04 14:15:00,2024-01-10 01:13:17.340,5 days 10:58:17.340000
CVE-2023-50753,2024-01-04 14:15:00,2024-01-10 01:13:11.037,5 days 10:58:11.037000
CVE-2023-50760,2024-01-04 15:15:00,2024-01-10 01:13:05.230,5 days 09:58:05.230000
CVE-2023-50862,2024-01-04 15:15:00,2024-01-10 01:12:52.370,5 days 09:57:52.370000
CVE-2023-50863,2024-01-04 15:15:00,2024-01-10 01:12:42.617,5 days 09:57:42.617000
CVE-2023-50864,2024-01-04 15:15:00,2024-01-10 01:12:35.777,5 days 09:57:35.777000
CVE-2023-50865,2024-01-04 15:15:00,2024-01-10 01:12:29.483,5 days 09:57:29.483000
CVE-2023-50866,2024-01-04 15:15:00,2024-01-10 01:12:23.513,5 days 09:57:23.513000
CVE-2023-50867,2024-01-04 15:15:00,2024-01-10 01:12:15.113,5 days 09:57:15.113000
CVE-2023-5091,2024-01-08 10:15:00,2024-01-12 13:39:11.453,4 days 03:24:11.453000
CVE-2023-50916,2024-01-10 19:15:00,2024-01-19 17:49:52.783,8 days 22:34:52.783000
CVE-2023-50919,2024-01-12 08:15:00,2024-01-19 02:10:22.927,6 days 17:55:22.927000
CVE-2023-50920,2024-01-12 08:15:00,2024-01-19 02:11:15.073,6 days 17:56:15.073000
CVE-2023-50922,2024-01-03 08:15:00,2024-01-10 13:52:10.747,7 days 05:37:10.747000
CVE-2023-50930,2024-01-09 07:15:00,2024-01-17 20:28:33.180,8 days 13:13:33.180000
CVE-2023-50931,2024-01-09 07:15:00,2024-01-17 20:29:51.147,8 days 13:14:51.147000
CVE-2023-50932,2024-01-09 07:15:00,2024-01-17 20:30:07.050,8 days 13:15:07.050000
CVE-2023-50948,2024-01-08 02:15:00,2024-01-11 17:00:50.090,3 days 14:45:50.090000
CVE-2023-50974,2024-01-09 09:15:00,2024-01-12 20:25:04.183,3 days 11:10:04.183000
CVE-2023-50982,2024-01-08 20:15:00,2024-01-12 16:28:34.440,3 days 20:13:34.440000
CVE-2023-50991,2024-01-05 10:15:00,2024-01-09 15:30:48.587,4 days 05:15:48.587000
CVE-2023-51071,2024-01-13 04:15:00,2024-01-19 15:20:47.517,6 days 11:05:47.517000
CVE-2023-51073,2024-01-11 03:15:00,2024-01-18 15:05:25.193,7 days 11:50:25.193000
CVE-2023-51123,2024-01-10 22:15:00,2024-01-17 18:23:36.650,6 days 20:08:36.650000
CVE-2023-51126,2024-01-10 21:15:00,2024-01-17 21:10:20.850,6 days 23:55:20.850000
